"","Host","Amenity"
"454",48,"Dryer"
"455",48,"Heating"
"456",48,"Washer"
"457",48,"TV"
"458",48,"Kitchen"
"459",48,"Wireless Internet"
"460",49,"Free parking on premise"
"461",49,"Cable TV"
"462",49,"Internet"
"463",49,"Laptop friendly workspace"
"464",49,"Iron"
"465",49,"Essentials"
"466",49,"Hangers"
"467",49,"Heating"
"468",49,"Washer"
"469",49,"TV"
"470",49,"Kitchen"
"471",49,"Wireless Internet"
"472",50,"Internet"
"473",50,"Essentials"
"474",50,"Heating"
"475",50,"TV"
"476",50,"Kitchen"
"477",50,"Wireless Internet"
"478",51,"Internet"
"479",51,"Essentials"
"480",51,"Heating"
"481",51,"Kitchen"
"482",51,"Wireless Internet"
"483",52,"Free parking on premise"
"484",52,"Internet"
"485",52,"Essentials"
"486",52,"Heating"
"487",52,"TV"
"488",52,"Kitchen"
"489",52,"Wireless Internet"
"490",53,"Internet"
"491",53,"Laptop friendly workspace"
"492",53,"Suitable for events"
"493",53,"Essentials"
"494",53,"Washer"
"495",53,"TV"
"496",53,"Kitchen"
"497",53,"Wireless Internet"
"498",54,"Free parking on premise"
"499",54,"Internet"
"500",54,"Hair dryer"
"501",54,"Hangers"
"502",54,"Heating"
"503",54,"Washer"
"504",54,"TV"
"505",54,"Kitchen"
"506",54,"Wireless Internet"
"507",55,"Internet"
"508",55,"Essentials"
"509",55,"Heating"
"510",55,"Wireless Internet"
"511",56,"Internet"
"512",56,"Dryer"
"513",56,"Heating"
"514",56,"Washer"
"515",56,"Kitchen"
"516",56,"Wireless Internet"
"517",57,"Internet"
"518",57,"Essentials"
"519",57,"Heating"
"520",57,"Kitchen"
"521",57,"Wireless Internet"
"522",58,"Internet"
"523",58,"Laptop friendly workspace"
"524",58,"Hair dryer"
"525",58,"Iron"
"526",58,"Essentials"
"527",58,"Hangers"
"528",58,"Heating"
"529",58,"Washer"
"530",58,"Kitchen"
"531",58,"Wireless Internet"
"532",59,"Internet"
"533",59,"Laptop friendly workspace"
"534",59,"Hair dryer"
"535",59,"Iron"
"536",59,"Essentials"
"537",59,"Hangers"
"538",59,"Heating"
"539",59,"Kitchen"
"540",59,"Wireless Internet"
"541",60,"Cable TV"
"542",60,"Internet"
"543",60,"Laptop friendly workspace"
"544",60,"Hair dryer"
"545",60,"Iron"
"546",60,"Essentials"
"547",60,"Hangers"
"548",60,"Heating"
"549",60,"TV"
"550",60,"Kitchen"
"551",60,"Wireless Internet"
"552",61,"Internet"
"553",61,"Laptop friendly workspace"
"554",61,"Hair dryer"
"555",61,"Iron"
"556",61,"Essentials"
"557",61,"Hangers"
"558",61,"Heating"
"559",61,"Washer"
"560",61,"Kitchen"
"561",61,"Wireless Internet"
"562",62,"Breakfast"
"563",62,"Internet"
"564",62,"Hair dryer"
"565",62,"Essentials"
"566",62,"Hangers"
"567",62,"Heating"
"568",62,"Wireless Internet"
"569",63,"Internet"
"570",63,"Laptop friendly workspace"
"571",63,"Hair dryer"
"572",63,"Iron"
"573",63,"Essentials"
"574",63,"Hangers"
